0; 0; 0; 
0,1; 0,0651311; 1,24119; 
0,2; 0,233253; 2,04178; 
0,3; 0,456843; 2,3524; 
0,4; 0,689396; 2,23957; 
0,5; 0,895267; 1,84423; 
0,6; 1,00903; 0,238229; 
0,7; 0,953216; -1,294; 
0,8; 0,76416; -2,41057; 
0,9; 0,488385; -3,01336; 
1; 0,180972; -3,04099; 
1,1; -0,102004; -2,54427; 
1,2; -0,316018; -1,6966; 
1,3; -0,437014; -0,719108; 
1,4; -0,462006; 0,196576; 
1,5; -0,404397; 0,915301; 
1,6; -0,288376; 1,35565; 
1,7; -0,143681; 1,48856; 
1,8; -0,000193287; 1,34012; 
1,9; 0,117343; 0,984566; 
2; 0,193136; 0,52237; 
2,1; 0,22164; 0,0540433; 
2,2; 0,206528; -0,338716; 
2,3; 0,158287; -0,602264; 
2,4; 0,0912224; -0,714009; 
2,5; 0,0203802; -0,681206; 
2,6; -0,041195; -0,535302; 
2,7; -0,0844198; -0,322305; 
2,8; -0,105074; -0,091703; 
2,9; -0,103647; 0,113095; 
3; -0,0843862; 0,261126; 
3,1; -0,0538756; 0,336841; 
3,2; -0,0194751; 0,34003; 
3,3; 0,0121005; 0,283203; 
3,4; 0,0358424; 0,187153; 
3,5; 0,049019; 0,0757915; 
3,6; 0,0512416; -0,0286418; 
3,7; 0,0441055; -0,109161; 
3,8; 0,0305522; -0,156028; 
3,9; 0,0141119; -0,167138; 
4; -0,00181855; -0,147015; 
4,1; -0,0145462; -0,10483; 
4,2; -0,0224255; -0,051956; 
4,3; -0,0249571; 0,000425533; 
4,4; -0,0226668; 0,0432468; 
4,5; -0,0168282; 0,0707533; 
4,6; -0,00910457; 0,0809088; 
4,7; -0,00118767; 0,0750784; 
4,8; 0,00550321; 0,0571762; 
4,9; 0,0100202; 0,0325185; 
5; 0,0119671; 0,0066404; 
5,1; 0,011469; -0,0157124; 
5,2; 0,00905573; -0,0312701; 
5,3; 0,00549607; -0,0385429; 
5,4; 0,00162003; -0,0377594; 
5,5; -0,00183736; -0,0305153; 
5,6; -0,00434738; -0,0192474; 
5,7; -0,00564269; -0,00665448; 
5,8; -0,00571679; 0,00482148; 
5,9; -0,00477786; 0,0133762; 
6; -0,00317354; 0,0180428; 
6,1; -0,00130484; 0,0187095; 
6,2; 0,000453608; 0,0159841; 
6,3; 0,0018143; 0,0109572; 
6,4; 0,00261135; 0,00492483; 
6,5; 0,00280745; -0,000876294; 
6,6; 0,00247714; -0,00547365; 
6,7; 0,00177351; -0,00828138; 
6,8; 0,000887194; -0,00913261; 
6,9; 6,25364e-06; -0,00823281; 
7; -0,000716249; -0,00605641; 
7,1; -0,00118267; -0,00321515; 
7,2; -0,00135783; -0,000326231; 
7,3; -0,00126385; 0,00209657; 
7,4; -0,000965899; 0,00371402; 
7,5; -0,000553011; 0,00438916; 
7,6; -0,000118196; 0,00417456; 
7,7; 0,000258543; 0,00326889; 
7,8; 0,000521851; 0,00195564; 
7,9; 0,000646228; 0,000538263; 
8; 0,000635085; -0,000716559; 
8,1; 0,000514912; -0,00161885; 
8,2; 0,000326467; -0,00207468; 
8,3; 0,000115063; -0,00208519; 
8,4; -7,81761e-05; -0,0017292; 
8,5; -0,000222752; -0,00113531; 
8,6; -0,000302197; -0,000450459; 
8,7; -0,000314415; 0,000189137; 
8,8; -0,000269443; 0,000679836; 
8,9; -0,000185502; 0,0009628; 
9; -8,43258e-05; 0,00102617; 
9,1; 1,32728e-05; 0,000898637; 
9,2; 9,08762e-05; 0,000637066; 
9,3; 0,000138536; 0,000311469; 
9,4; 0,000153342; -9,62595e-06; 
9,5; 0,000138653; -0,00027089; 
9,6; 0,000102381; -0,000437475; 
9,7; 5,47752e-05; -0,000497399; 
9,8; 6,21284e-06; -0,000459498; 
9,9; -3,46416e-05; -0,000348115; 
10; -6,20403e-05; -0,000196033; 
